Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels
Round01-Hive01-2024_06_05-h01bee21.JPG,176031.5,406,1sMC,7087,413
Round01-Hive01-2024_06_05-h01bee21.JPG,176031.5,406,2sMC,7140,409
Round01-Hive01-2024_06_05-h01bee21.JPG,176031.5,406,3sMC,8254,444
Round01-Hive01-2024_06_05-h01bee21.JPG,176031.5,406,2MdC,23389,866
Round01-Hive01-2024_06_05-h01bee51.JPG,164803.5,370,FWL,159272,2454
Round01-Hive01-2024_06_05-h01bee51.JPG,164803.5,370,MC,20909,835
Round01-Hive01-2024_06_05-h01bee51.JPG,164803.5,370,1sMC,7045,388
Round01-Hive01-2024_06_05-h01bee51.JPG,164803.5,370,2sMC,6852,365
Round01-Hive01-2024_06_05-h01bee51.JPG,164803.5,370,3sMC,7747,370
Round01-Hive01-2024_06_05-h01bee51.JPG,164803.5,370,2MdC,22269,729
Round01-Hive01-2024_06_11-h01b21.JPG,254495.5,445,FWL,245952,2704
Round01-Hive01-2024_06_11-h01b21.JPG,254495.5,445,MC,23026,926
Round01-Hive01-2024_06_11-h01b21.JPG,254495.5,445,1sMC,8557,467
Round01-Hive01-2024_06_11-h01b21.JPG,254495.5,445,2sMC,10368,468
Round01-Hive01-2024_06_11-h01b21.JPG,254495.5,445,3sMC,12212,457
Round01-Hive01-2024_06_11-h01b21.JPG,254495.5,445,2MdC,31862,886
Round01-Hive01-2024_06_11-h01b40.JPG,190666.5,362,FWL,161681,2001
Round01-Hive01-2024_06_11-h01b40.JPG,190666.5,362,MC,19622,765
Round01-Hive01-2024_06_11-h01b40.JPG,190666.5,362,1sMC,6217,382
Round01-Hive01-2024_06_11-h01b40.JPG,190666.5,362,2sMC,6570,371
Round01-Hive01-2024_06_11-h01b40.JPG,190666.5,362,3sMC,7450,370
Round01-Hive01-2024_06_11-h01b40.JPG,190666.5,362,2MdC,22626,725
Round01-Hive01-2024_06_19-h01b01.JPG,153931.0,328,FWL,126129,2053
Round01-Hive01-2024_06_19-h01b01.JPG,153931.0,328,MC,14101,701
Round01-Hive01-2024_06_19-h01b01.JPG,153931.0,328,1sMC,5060,318
Round01-Hive01-2024_06_19-h01b01.JPG,153931.0,328,2sMC,6035,350
Round01-Hive01-2024_06_19-h01b01.JPG,153931.0,328,3sMC,6948,343
Round01-Hive01-2024_06_19-h01b01.JPG,153931.0,328,2MdC,18329,658
Round01-Hive01-2024_06_19-h01b17.JPG,113036.5,305,FWL,102200,1816
Round01-Hive01-2024_06_19-h01b17.JPG,113036.5,305,MC,11957,652
Round01-Hive01-2024_06_19-h01b17.JPG,113036.5,305,1sMC,4325,294
Round01-Hive01-2024_06_19-h01b17.JPG,113036.5,305,2sMC,4816,306
Round01-Hive01-2024_06_19-h01b17.JPG,113036.5,305,3sMC,5172,291
Round01-Hive01-2024_06_19-h01b17.JPG,113036.5,305,2MdC,14509,580
Round01-Hive01-2024_06_19-h01b32.JPG,122633.5,306,FWL,111255,1938
Round01-Hive01-2024_06_19-h01b32.JPG,122633.5,306,MC,12893,643
Round01-Hive01-2024_06_19-h01b32.JPG,122633.5,306,1sMC,4763,316
Round01-Hive01-2024_06_19-h01b32.JPG,122633.5,306,2sMC,5037,308
Round01-Hive01-2024_06_19-h01b32.JPG,122633.5,306,3sMC,5740,316
Round01-Hive01-2024_06_19-h01b32.JPG,122633.5,306,2MdC,15348,605
Round01-Hive01-2024_06_19-h01b35.JPG,179062.5,347,FWL,141614,2318
Round01-Hive01-2024_06_19-h01b35.JPG,179062.5,347,MC,16399,709
Round01-Hive01-2024_06_19-h01b35.JPG,179062.5,347,1sMC,5883,347
Round01-Hive01-2024_06_19-h01b35.JPG,179062.5,347,2sMC,6336,356
Round01-Hive01-2024_06_19-h01b35.JPG,179062.5,347,3sMC,7279,353
Round01-Hive01-2024_06_19-h01b35.JPG,179062.5,347,2MdC,19850,668
Round01-Hive01-2024_06_19-h01b38.JPG,134487.0,329,FWL,129173,1778
Round01-Hive01-2024_06_19-h01b38.JPG,134487.0,329,MC,15593,723
Round01-Hive01-2024_06_19-h01b38.JPG,134487.0,329,1sMC,5190,325
Round01-Hive01-2024_06_19-h01b38.JPG,134487.0,329,2sMC,5913,338
Round01-Hive01-2024_06_19-h01b38.JPG,134487.0,329,3sMC,6797,336
Round01-Hive01-2024_06_19-h01b38.JPG,134487.0,329,2MdC,17504,641
Round01-Hive04-2024_06_07-h04bee11.JPG,141974.0,338,FWL,140248,2262
Round01-Hive04-2024_06_07-h04bee11.JPG,141974.0,338,MC,18080,762
Round01-Hive04-2024_06_07-h04bee11.JPG,141974.0,338,1sMC,5531,358
Round01-Hive04-2024_06_07-h04bee11.JPG,141974.0,338,2sMC,5562,342
Round01-Hive04-2024_06_07-h04bee11.JPG,141974.0,338,3sMC,6953,348
Round01-Hive04-2024_06_07-h04bee11.JPG,141974.0,338,2MdC,19331,695
Round01-Hive04-2024_06_07-h04bee18.JPG,123904.0,301,FWL,113743,2083
Round01-Hive04-2024_06_07-h04bee18.JPG,123904.0,301,MC,14875,723
Round01-Hive04-2024_06_07-h04bee18.JPG,123904.0,301,1sMC,4052,332
Round01-Hive04-2024_06_07-h04bee18.JPG,123904.0,301,2sMC,4502,289
Round01-Hive04-2024_06_07-h04bee18.JPG,123904.0,301,3sMC,6160,316
Round01-Hive04-2024_06_07-h04bee18.JPG,123904.0,301,2MdC,15265,617
Round01-Hive04-2024_06_07-h04bee34.JPG,154115.0,337,FWL,135984,1996
Round01-Hive04-2024_06_07-h04bee34.JPG,154115.0,337,MC,18579,740
Round01-Hive04-2024_06_07-h04bee34.JPG,154115.0,337,1sMC,5650,340
Round01-Hive04-2024_06_07-h04bee34.JPG,154115.0,337,2sMC,5850,338
Round01-Hive04-2024_06_07-h04bee34.JPG,154115.0,337,3sMC,7296,348
Round01-Hive04-2024_06_07-h04bee34.JPG,154115.0,337,2MdC,20317,705
Round01-Hive04-2024_06_12-h04b02.JPG,216707.0,368,FWL,173377,2204
Round01-Hive04-2024_06_12-h04b02.JPG,216707.0,368,MC,20901,844
Round01-Hive04-2024_06_12-h04b02.JPG,216707.0,368,1sMC,6997,410
Round01-Hive04-2024_06_12-h04b02.JPG,216707.0,368,2sMC,7796,392
Round01-Hive04-2024_06_12-h04b02.JPG,216707.0,368,3sMC,8674,382
Round01-Hive04-2024_06_12-h04b02.JPG,216707.0,368,2MdC,24439,775
Round01-Hive04-2024_06_12-h04b50.JPG,176244.0,349,FWL,145488,2032
Round01-Hive04-2024_06_12-h04b50.JPG,176244.0,349,MC,17422,806
Round01-Hive04-2024_06_12-h04b50.JPG,176244.0,349,1sMC,6112,354
Round01-Hive04-2024_06_12-h04b50.JPG,176244.0,349,2sMC,6514,355
Round01-Hive04-2024_06_12-h04b50.JPG,176244.0,349,3sMC,7742,358
Round01-Hive04-2024_06_12-h04b50.JPG,176244.0,349,2MdC,20853,700
Round01-Hive04-2024_06_17-h04b05.JPG,175697.0,354,FWL,138328,2006
Round01-Hive04-2024_06_17-h04b05.JPG,175697.0,354,MC,17768,759
Round01-Hive04-2024_06_17-h04b05.JPG,175697.0,354,1sMC,6554,360
Round01-Hive04-2024_06_17-h04b05.JPG,175697.0,354,2sMC,6776,361
Round01-Hive04-2024_06_17-h04b05.JPG,175697.0,354,3sMC,8137,367
Round01-Hive04-2024_06_17-h04b05.JPG,175697.0,354,2MdC,22786,723
Round01-Hive04-2024_06_17-h04b13.JPG,215918.0,397,FWL,184246,2265
Round01-Hive04-2024_06_17-h04b13.JPG,215918.0,397,MC,24097,876
Round01-Hive04-2024_06_17-h04b13.JPG,215918.0,397,1sMC,8014,402
Round01-Hive04-2024_06_17-h04b13.JPG,215918.0,397,2sMC,8446,404
Round01-Hive04-2024_06_17-h04b13.JPG,215918.0,397,3sMC,10387,417
Round01-Hive04-2024_06_17-h04b13.JPG,215918.0,397,2MdC,28395,828
Round01-Hive04-2024_06_17-h04b44.JPG,184563.0,358,FWL,151982,2083
Round01-Hive04-2024_06_17-h04b44.JPG,184563.0,358,MC,19618,779
Round01-Hive04-2024_06_17-h04b44.JPG,184563.0,358,1sMC,6074,355
Round01-Hive04-2024_06_17-h04b44.JPG,184563.0,358,2sMC,7251,374
Round01-Hive04-2024_06_17-h04b44.JPG,184563.0,358,3sMC,8361,375
Round01-Hive04-2024_06_17-h04b44.JPG,184563.0,358,2MdC,21550,727
Round01-Hive04-2024_06_26-h04b01.JPG,204768.0,397,FWL,190232,2382
Round01-Hive04-2024_06_26-h04b01.JPG,204768.0,397,MC,24692,941
Round01-Hive04-2024_06_26-h04b01.JPG,204768.0,397,1sMC,7653,395
Round01-Hive04-2024_06_26-h04b01.JPG,204768.0,397,2sMC,8898,421
Round01-Hive04-2024_06_26-h04b01.JPG,204768.0,397,3sMC,11314,437
Round01-Hive04-2024_06_26-h04b01.JPG,204768.0,397,2MdC,28505,816
Round02-hive13-2024_07_02-h13b03.JPG,275934.0,442,FWL,226877,2516
Round02-hive13-2024_07_02-h13b03.JPG,275934.0,442,MC,26730,932
Round02-hive13-2024_07_02-h13b03.JPG,275934.0,442,1sMC,9245,441
Round02-hive13-2024_07_02-h13b03.JPG,275934.0,442,2sMC,10193,444
Round02-hive13-2024_07_02-h13b03.JPG,275934.0,442,3sMC,12557,459
Round02-hive13-2024_07_02-h13b03.JPG,275934.0,442,2MdC,32374,889
Round02-hive13-2024_07_09-h13b01.JPG,126919.0,298,FWL,99486,1611
Round02-hive13-2024_07_09-h13b01.JPG,126919.0,298,MC,13175,629
Round02-hive13-2024_07_09-h13b01.JPG,126919.0,298,1sMC,4452,297
Round02-hive13-2024_07_09-h13b01.JPG,126919.0,298,2sMC,5018,311
Round02-hive13-2024_07_09-h13b01.JPG,126919.0,298,3sMC,5782,307
Round02-hive13-2024_07_09-h13b01.JPG,126919.0,298,2MdC,13757,574
Round02-hive14-2024_06_20-h14b42.JPG,236157.0,421,FWL,209655,2279
