Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels,median_marker_length_in_pixels
Round01-Hive01-2024_06_11-h01b24.JPG,266647.0,446,2sMC,6484.0,352.0,663
Round01-Hive01-2024_06_11-h01b24.JPG,266647.0,446,3sMC,7271.0,347.0,663
Round01-Hive01-2024_06_11-h01b24.JPG,266647.0,446,2MdC,20573.0,688.0,663
Round01-Hive01-2024_06_11-h01b24.JPG,266647.0,446,FWL,145968.0,1876.0,663
Round01-Hive01-2024_06_11-h01b25.JPG,320340.0,443,MC,16480.0,719.0,"604,368042"
Round01-Hive01-2024_06_11-h01b25.JPG,320340.0,443,1sMC,5913.0,351.0,"604,368042"
Round01-Hive01-2024_06_11-h01b25.JPG,320340.0,443,2sMC,6642.0,355.0,"604,368042"
Round01-Hive01-2024_06_11-h01b25.JPG,320340.0,443,3sMC,7433.0,355.0,"604,368042"
Round01-Hive01-2024_06_11-h01b25.JPG,320340.0,443,2MdC,20280.0,692.0,"604,368042"
Round01-Hive01-2024_06_11-h01b25.JPG,320340.0,443,FWL,150583.0,1890.0,"604,368042"
Round01-Hive01-2024_06_11-h01b28.JPG,366356.0,489,MC,18352.0,750.0,"666,8160095"
Round01-Hive01-2024_06_11-h01b28.JPG,366356.0,489,1sMC,6695.0,372.0,"666,8160095"
Round01-Hive01-2024_06_11-h01b28.JPG,366356.0,489,2sMC,7494.0,377.0,"666,8160095"
Round01-Hive01-2024_06_11-h01b28.JPG,366356.0,489,3sMC,8576.0,378.0,"666,8160095"
Round01-Hive01-2024_06_11-h01b28.JPG,366356.0,489,2MdC,23949.0,735.0,"666,8160095"
Round01-Hive01-2024_06_11-h01b28.JPG,366356.0,489,FWL,179077.0,2029.0,"666,8160095"
Round01-Hive01-2024_06_11-h01b36.JPG,350473.0,459,MC,17907.0,725.0,"704,0098877"
Round01-Hive01-2024_06_11-h01b36.JPG,350473.0,459,1sMC,6204.0,352.0,"704,0098877"
Round01-Hive01-2024_06_11-h01b36.JPG,350473.0,459,2sMC,7142.0,373.0,"704,0098877"
Round01-Hive01-2024_06_11-h01b36.JPG,350473.0,459,3sMC,7536.0,353.0,"704,0098877"
Round01-Hive01-2024_06_11-h01b36.JPG,350473.0,459,2MdC,21475.0,701.0,"704,0098877"
Round01-Hive01-2024_06_11-h01b36.JPG,350473.0,459,FWL,158137.0,1982.0,"704,0098877"
Round01-Hive01-2024_06_11-h01b39.JPG,345411.0,464,MC,16958.0,730.0,"697,4283447"
Round01-Hive01-2024_06_11-h01b39.JPG,345411.0,464,1sMC,6634.0,367.0,"697,4283447"
Round01-Hive01-2024_06_11-h01b39.JPG,345411.0,464,2sMC,7094.0,375.0,"697,4283447"
Round01-Hive01-2024_06_11-h01b39.JPG,345411.0,464,3sMC,8296.0,373.0,"697,4283447"
